account_number,snapshot_month,household_composition,activation_date,lifecycle_stage,geographic_market,premises_type,value_tier,credit_profile,commitment_end_date,own_voice_flag,own_data_flag,own_video_flag,loyalty_program_participation,loyalty_status,service_type,subscribed_speed_mbps,avg_delivered_throughput_mbps,network_outage_events,network_outage_duration_minutes,latency_ms,jitter_ms,packet_loss_pct,trouble_ticket_volume,ticket_resolution_time_hours,repeat_issue_flag,infrastructure_age_years,copper_pair_condition_score,distance_from_co_km,fiber_available_at_premises,service_provisioning_delay_days,install_failure_flag,mrc_data,mrc_voice,mrc_video,usage_based_charges,overage_charges,promo_discount_amount,promo_expiration_flag,price_increase_flag,notification_days_before_increase,credits_issued,billing_dispute_flag,refund_request_flag,bill_amount,late_payment_flag,collections_activity_flag,churn_event_month,churn_reason_code,final_destination,winback_attempts,winback_success_flag,time_to_churn_from_key_trigger_days,inbound_call_volume,call_reason_code,avg_handle_time_sec,escalations,transfers,nps_score,csat_score,ces_score,retention_offer_type,save_attempt_flag,save_outcome,complaint_volume,complaint_type,complaint_severity,chat_transcripts_count,email_correspondence_count,ivr_interactions_count,agent_notes_count,case_mgmt_records_count,data_consumption_gb,peak_usage_hours_pct,bandwidth_utilization_pct,connected_device_count,device_types_sample,video_streaming_hours,voip_minutes,self_service_portal_logins,mobile_app_sessions,avg_session_duration_sec,email_open_rate,sms_response_rate,competitor_broadband_available_by_address,competitor_pricing_index,competitor_promo_active,fixed_wireless_5g_coverage_rate,market_share_index,median_income,employment_rate,new_housing_dev_index,mdu_density_index,subsidy_eligibility,retention_campaign_exposed,offer_accept_flag,offer_reject_flag,fiber_migration_campaign_participation,upsell_cross_sell_attempt_flag,upsell_cross_sell_outcome,marketing_channel_engagement,ab_test_group,comm_preference,opt_out_marketing_flag,service_activation_event,service_deactivation_event
200000,2025-07-01 00:00:00,Family,2022-10-01 00:00:00,Active,Metro,Bulk,Mid,A,,0,1,0,1,Silver,Copper_DSL,46,17,0,0,75.8,5.4,0.572,0,0,0,27,85,3.45,0,0,0,49.07,0,0,0,0,0,0,0,0,0,0,0,49.07,0,0,,,,0,0,,0,,0,0,0,56,3.91,1.69,None,0,NA,0,,,0,0,0,0,1,364.2,0.261,0.468,8,"Laptop,Phone,TV",77.7,0,0,2,183,0.494,0.219,0,0,0,0.55,1.15,78000,0.962,1.33,1.34,None,0,0,0,0,0,None,Email,Variant_B,Email,0,0,0
200000,2025-08-01 00:00:00,Family,2023-07-01 00:00:00,Active,Metro,Bulk,Mid,A,,0,1,0,1,Bronze,Copper_DSL,46,19.8,0,0,56.4,5.3,0.727,0,0,0,27,85,3.45,0,1,0,49.07,0,0,0,0.91,0,0,0,0,5.79,0,0,44.19,0,0,,,,0,0,,0,,0,0,0,12,4.14,2.71,None,0,NA,1,Other,Medium,0,0,1,0,0,248.1,0.186,0.49,8,"Laptop,Phone,TV",65.2,0,1,0,0,0.299,0.14,0,0,0,0.55,1.15,78000,0.962,1.35,0.91,None,1,0,1,0,0,Rejected,Email,Variant_B,Email,0,0,0
200000,2025-09-01 00:00:00,Family,2023-11-01 00:00:00,Active,Metro,Bulk,Mid,A,,0,1,0,1,Bronze,Copper_DSL,46,23.5,2,122,72.2,4.7,0.593,1,35.5,1,27,85,3.45,0,0,0,53.98,0,0,7.03,3.33,0,0,1,38,0.89,0,0,63.45,0,0,,,,0,0,,0,,0,0,0,17,3.37,1.69,None,0,NA,1,Support,Low,0,0,0,0,1,213.4,0.05,0.448,8,"Laptop,Phone,TV",97.3,0,1,2,133,0.188,0.002,1,0.85,1,0.55,1.15,78000,0.962,1.28,0.98,None,0,0,0,0,0,None,Email,Variant_B,Email,0,0,0
200000,2025-10-01 00:00:00,Family,2024-07-01 00:00:00,Active,Metro,Bulk,Mid,A,,0,1,0,1,Silver,Copper_DSL,46,27,1,69,78.3,7.6,0.243,1,40.2,0,27,85,3.45,0,3,0,53.98,0,0,1.68,2.19,0,0,0,0,0,0,0,57.85,0,0,,,,0,0,,1,Sales,471,0,0,26,3.3,1.9,None,0,NA,0,,,1,0,1,2,2,309.1,0.155,0.472,8,"Laptop,Phone,TV",69.1,0,0,0,0,0.321,0,0,0,0,0.55,1.15,78000,0.962,1.24,0.9,None,0,0,0,0,0,None,SMS,Variant_B,Email,0,0,0
200000,2025-11-01 00:00:00,Family,2024-07-01 00:00:00,Active,Metro,Bulk,Mid,A,,0,1,0,1,Bronze,Copper_DSL,46,20.9,0,0,54.9,9.4,0.339,0,0,0,27,85,3.45,0,0,0,53.98,0,0,6.79,3.31,0,0,0,0,3.85,0,0,60.23,0,0,,,,0,0,,0,,0,0,0,-9,4.77,1.57,None,0,NA,0,,,0,0,0,0,1,339.2,0.152,0.391,8,"Laptop,Phone,TV",84.8,0,0,1,183,0.184,0.169,1,0.99,1,0.55,1.15,78000,0.962,1,0.93,None,0,0,0,0,0,None,Email,Variant_B,Email,0,0,0
200000,2025-12-01 00:00:00,Family,2023-02-01 00:00:00,Active,Metro,Bulk,Mid,A,,0,1,0,1,Gold,Copper_DSL,46,23.6,0,0,83.5,4,0.209,0,0,0,27,85,3.45,0,0,0,53.98,0,0,2.14,4.74,0,0,0,0,7.46,0,0,53.4,0,0,,,,0,0,,0,,0,0,0,11,4.06,1.93,Discount,0,NA,0,,,0,0,1,0,1,179.5,0.24,0.53,8,"Laptop,Phone,TV",74.7,0,0,3,114,0.02,0.164,1,1,1,0.55,1.15,78000,0.962,0.83,1.08,None,0,0,0,0,0,None,None,Variant_B,Email,0,0,0
200001,2024-02-01 00:00:00,Roommates,2023-12-01 00:00:00,Active,Urban,Bulk,Low,C,2025-08-22,0,1,0,0,None,Fiber,368.7,326.1,0,0,13.9,6.9,0.531,0,0,0,15,0,3.14,0,0,0,52.95,0,0,2.12,9.28,25.55,0,0,0,0.91,0,0,37.89,0,0,,,,0,0,,1,Technical,332,0,0,67,3.87,1.65,None,0,NA,1,Billing,Low,0,0,1,0,1,305.8,0.286,0.287,6,"Laptop,Phone,Tablet",96.9,0,0,0,0,0.429,0,1,1.11,1,0.5,1.05,68000,0.955,0.87,1.15,Lifeline,0,0,0,0,0,None,None,Control,SMS,0,1,0
200001,2024-03-01 00:00:00,Roommates,2022-03-01 00:00:00,Active,Urban,Bulk,Low,C,2025-08-22,0,1,0,0,None,Fiber,368.7,354.8,1,3,15.9,1.5,0.663,1,37,1,15,0,3.14,0,4,0,52.95,0,0,3.6,9.04,25.55,0,0,0,14.84,1,0,25.2,1,0,,,,0,0,,2,Billing,555,0,0,15,3.69,1.65,Discount,0,NA,0,,,0,1,0,0,0,389,0.129,0.05,6,"Laptop,Phone,Tablet",70.9,0,1,0,0,0.255,0.108,0,0,0,0.5,1.05,68000,0.955,1.09,1.03,Lifeline,1,0,1,0,0,None,Email,Control,SMS,0,0,0
200001,2024-04-01 00:00:00,Roommates,2023-01-01 00:00:00,Active,Urban,Bulk,Low,C,2025-08-22,0,1,0,0,None,Fiber,368.7,350.1,0,0,6.5,1.2,0.146,0,0,0,15,0,3.14,0,0,0,52.95,0,0,0.58,12.88,25.55,0,0,0,0,0,0,40.86,0,0,,,,0,0,,0,,0,0,0,17,4.58,1,None,0,NA,1,Support,High,0,1,0,0,0,459.3,0.275,0.49,6,"Laptop,Phone,Tablet",72.2,0,3,0,0,0.282,0.192,1,0.97,1,0.5,1.05,68000,0.955,1.07,1.17,Lifeline,0,0,0,0,0,None,None,Control,SMS,0,0,0
200001,2024-05-01 00:00:00,Roommates,2024-01-01 00:00:00,Active,Urban,Bulk,Low,C,2025-08-22,0,1,0,0,None,Fiber,368.7,264.4,2,127,7.3,0.5,0.268,0,0,0,15,0,3.14,0,1,0,52.95,0,0,6.92,0,25.55,0,0,0,1.63,0,0,32.69,1,1,,,,0,0,,1,Billing,505,0,0,25,4.19,1.62,Bundle,0,NA,0,,,0,0,1,2,2,298.6,0.164,0.407,6,"Laptop,Phone,Tablet",91.7,0,0,2,176,0.259,0.042,1,0.97,1,0.5,1.05,68000,0.955,1.23,1.25,Lifeline,0,0,0,0,0,Accepted,DirectMail,Control,SMS,0,0,0
200001,2024-06-01 00:00:00,Roommates,2024-02-01 00:00:00,Active,Urban,Bulk,Low,C,2025-08-22,0,1,0,0,None,Fiber,368.7,324.5,0,0,24.3,0.9,0.08,0,0,0,15,0,3.14,0,1,0,52.95,0,0,4.84,0,25.55,0,0,0,0.73,0,0,31.51,1,0,,,,0,0,,1,Sales,473,0,0,45,3.83,1.91,Contract_Extension,0,NA,0,,,0,0,0,0,1,333.1,0.226,0.47,6,"Laptop,Phone,Tablet",79,0,0,3,216,0.647,0.07,1,0.82,1,0.5,1.05,68000,0.955,1.08,1.11,Lifeline,0,0,0,0,0,None,Email,Control,SMS,0,0,0
200001,2024-07-01 00:00:00,Roommates,2022-04-01 00:00:00,Active,Urban,Bulk,Low,C,2025-08-22,0,1,0,0,None,Fiber,368.7,268.3,1,18,5,0.5,0,0,0,0,15,0,3.14,0,0,0,52.95,0,0,0.26,5.79,25.55,0,0,0,0,0,0,33.45,0,0,,,,0,0,,1,Technical,417,0,0,29,4.32,2.37,Bundle,0,NA,1,Install,Low,0,1,0,0,1,317.3,0.234,0.363,6,"Laptop,Phone,Tablet",99.1,0,0,0,0,0.215,0.099,1,1.05,1,0.5,1.05,68000,0.955,1.11,1.38,Lifeline,0,0,0,0,0,None,DirectMail,Control,SMS,0,0,0
200001,2024-08-01 00:00:00,Roommates,2022-05-01 00:00:00,Active,Urban,Bulk,Low,C,2025-08-22,0,1,0,0,None,Fiber,368.7,277.2,1,35,10.2,8.2,0.126,0,0,0,15,0,3.14,0,0,0,52.95,0,0,2.78,5.05,25.55,0,0,0,2.36,0,0,32.87,0,0,,,,0,0,,0,,0,0,0,24,4.55,1.7,None,0,NA,0,,,0,0,1,0,0,335,0.286,0.465,6,"Laptop,Phone,Tablet",91.3,0,0,1,248,0.313,0.081,0,0,0,0.5,1.05,68000,0.955,0.99,1.42,Lifeline,0,0,0,0,0,None,Email,Control,SMS,0,0,0
200001,2024-09-01 00:00:00,Roommates,2022-09-01 00:00:00,Active,Urban,Bulk,Low,C,2025-08-22,0,1,0,0,None,Fiber,368.7,384.4,0,0,10.6,1.9,0.394,0,0,0,15,0,3.14,0,0,0,52.95,0,0,6.92,0,25.55,0,0,0,0,0,0,34.32,0,0,,,,0,0,,1,Technical,535,0,0,60,2.71,1.25,Speed_Upgrade,0,NA,0,,,0,0,0,1,0,285.6,0.334,0.515,6,"Laptop,Phone,Tablet",92.9,0,3,0,0,0.318,0.052,1,1.11,1,0.5,1.05,68000,0.955,0.99,1.36,Lifeline,0,0,0,0,0,None,Email,Control,SMS,0,0,0
200001,2024-10-01 00:00:00,Roommates,2023-12-01 00:00:00,Active,Urban,Bulk,Low,C,2025-08-22,0,1,0,0,None,Fiber,368.7,376.2,0,0,8.5,3.5,0,0,0,0,15,0,3.14,0,0,0,52.95,0,0,3.34,7.94,25.55,0,0,0,0,0,0,38.68,0,0,,,,0,0,,0,,0,0,0,32,3.77,2.39,Discount,0,NA,0,,,0,0,1,0,0,280.3,0.293,0.52,6,"Laptop,Phone,Tablet",89.9,0,1,2,120,0.475,0.153,0,0,0,0.5,1.05,68000,0.955,0.94,1.21,Lifeline,1,0,1,0,0,Accepted,Email,Control,SMS,0,0,0
200001,2024-11-01 00:00:00,Roommates,2024-01-01 00:00:00,Active,Urban,Bulk,Low,C,2025-08-22,0,1,0,0,None,Fiber,368.7,339.7,1,72,27.9,1.1,0.337,3,22.4,0,15,0,3.14,0,2,0,52.95,0,0,6.46,0,25.55,0,0,0,0,0,0,33.86,0,0,,,,0,0,,2,Technical,516,0,0,19,3.48,1.81,None,0,NA,1,Outage,Medium,0,0,3,0,1,287,0.192,0.412,6,"Laptop,Phone,Tablet",78.3,0,2,0,0,0.35,0.033,1,1.12,1,0.5,1.05,68000,0.955,1.09,1.32,Lifeline,0,0,0,0,0,None,Email,Control,SMS,0,0,0
200001,2024-12-01 00:00:00,Roommates,2022-03-01 00:00:00,Active,Urban,Bulk,Low,C,2025-08-22,0,1,0,0,None,Fiber,368.7,319,0,0,5.7,4.4,0.233,0,0,0,15,0,3.14,0,0,0,52.95,0,0,0,6.76,25.55,1,0,0,0,0,0,34.16,0,0,,,,0,0,,1,Retention,382,0,1,35,4.71,2.6,Discount,0,NA,1,Support,Low,0,1,0,1,0,301,0.22,0.627,6,"Laptop,Phone,Tablet",89.6,0,0,1,193,0.337,0.119,0,0,0,0.5,1.05,68000,0.955,1.12,1.32,Lifeline,0,0,0,0,0,None,None,Control,SMS,0,0,0
200001,2025-01-01 00:00:00,Roommates,2023-06-01 00:00:00,Active,Urban,Bulk,Low,C,2025-08-22,0,1,0,0,None,Fiber,368.7,354.7,0,0,30,0.5,0.289,0,0,0,15,0,3.14,0,0,0,52.95,0,0,5.34,0,0,0,0,0,0,0,0,58.29,0,0,,,,0,0,,0,,0,0,0,1,5,3.33,None,0,NA,2,Install,Low,0,0,0,1,1,394.5,0.246,0.33,6,"Laptop,Phone,Tablet",83.9,0,0,1,284,0.235,0.146,1,1.02,1,0.5,1.05,68000,0.955,1.04,1.01,Lifeline,0,0,0,0,0,None,Email,Control,SMS,0,0,0
200001,2025-02-01 00:00:00,Roommates,2022-08-01 00:00:00,Active,Urban,Bulk,Low,C,2025-08-22,0,1,0,0,None,Fiber,368.7,349.7,0,0,21.4,2.2,0.475,0,0,0,15,0,3.14,0,1,0,52.95,0,0,0,1.38,0,0,0,0,0.99,0,0,53.34,0,0,,,,0,0,,1,Retention,422,0,0,24,4.13,2.5,None,0,NA,0,,,0,0,0,1,0,357.9,0.245,0.263,6,"Laptop,Phone,Tablet",93.8,0,1,0,0,0.258,0.096,0,0,0,0.5,1.05,68000,0.955,1.02,1.23,Lifeline,0,0,0,0,0,None,DirectMail,Control,SMS,0,0,0
200001,2025-03-01 00:00:00,Roommates,2024-01-01 00:00:00,Active,Urban,Bulk,Low,C,2025-08-22,0,1,0,0,None,Fiber,368.7,358.3,0,0,24.2,1.5,0.164,0,0,0,15,0,3.14,0,4,0,52.95,0,0,0,7.45,0,0,0,0,0,0,0,60.4,1,0,,,,0,0,,0,,0,0,0,27,3.86,1.71,None,0,NA,0,,,0,0,0,0,1,357.7,0.126,0.472,6,"Laptop,Phone,Tablet",89.1,0,0,0,0,0.177,0.091,1,0.99,1,0.5,1.05,68000,0.955,0.88,1.42,Lifeline,0,0,0,0,0,None,Email,Control,SMS,0,0,0
200001,2025-04-01 00:00:00,Roommates,2023-03-01 00:00:00,Active,Urban,Bulk,Low,C,2025-08-22,0,1,0,0,None,Fiber,368.7,359.4,0,0,5,5.4,0.366,0,0,0,15,0,3.14,0,5,0,58.25,0,0,0,4.81,0,0,1,38,0,0,0,63.06,0,0,,,,0,0,,0,,0,0,0,46,4.22,2.06,None,0,NA,0,,,0,1,1,0,0,251.8,0.175,0.54,6,"Laptop,Phone,Tablet",71.4,0,0,3,135,0.144,0.061,0,0,0,0.5,1.05,68000,0.955,1.36,1.06,Lifeline,0,0,0,0,0,None,None,Control,SMS,0,0,0
200001,2025-05-01 00:00:00,Roommates,2023-03-01 00:00:00,Active,Urban,Bulk,Low,C,2025-08-22,0,1,0,0,None,Fiber,368.7,339.5,0,0,39.1,0.5,0,0,0,0,15,0,3.14,0,0,0,58.25,0,0,0.26,0,0,0,0,0,0,0,0,58.51,0,0,,,,0,0,,0,,0,0,0,42,3.56,3.9,Bundle,0,NA,0,,,0,0,1,0,0,367.3,0.269,0.408,6,"Laptop,Phone,Tablet",83.3,0,0,1,110,0.258,0,0,0,0,0.5,1.05,68000,0.955,1.15,0.85,Lifeline,0,0,0,0,1,None,None,Control,SMS,0,0,0
200001,2025-06-01 00:00:00,Roommates,2023-02-01 00:00:00,Active,Urban,Bulk,Low,C,2025-08-22,0,1,0,0,None,Fiber,368.7,308.5,2,32,19.7,2.9,0.009,2,43.8,0,15,0,3.14,0,0,0,58.25,0,0,1.04,0.21,0,0,0,0,6.07,0,0,53.43,0,0,,,,0,0,,2,Technical,263,0,0,36,2.83,2.07,None,0,NA,2,Billing,Low,0,0,0,0,1,316.5,0.156,0.457,6,"Laptop,Phone,Tablet",80,0,6,0,0,0.369,0.282,1,0.91,1,0.5,1.05,68000,0.955,1.09,1.09,Lifeline,0,0,0,0,0,None,None,Control,SMS,0,0,0
200001,2025-07-01 00:00:00,Roommates,2023-05-01 00:00:00,Active,Urban,Bulk,Low,C,2025-08-22,0,1,0,0,None,Fiber,368.7,289,1,44,18.4,0.5,0.065,0,0,0,15,0,3.14,0,0,0,58.25,0,0,0,4.81,0,0,0,0,0,0,0,63.06,0,0,,,,0,0,,1,Technical,321,0,1,22,3.89,2.76,Speed_Upgrade,0,NA,1,Support,Low,0,0,0,0,0,344,0.272,0.344,6,"Laptop,Phone,Tablet",105.3,0,2,1,160,0.558,0,1,1.12,1,0.5,1.05,68000,0.955,1.29,1.51,Lifeline,0,0,0,0,0,None,SMS,Control,SMS,0,0,0
200001,2025-08-01 00:00:00,Roommates,2024-01-01 00:00:00,Active,Urban,Bulk,Low,C,2025-08-22,0,1,0,0,None,Fiber,368.7,298.2,1,43,35.2,2.6,0.06,0,0,0,15,0,3.14,0,0,0,58.25,0,0,0,0,0,0,0,0,1.42,0,0,56.83,0,0,,,,0,0,,0,,0,0,0,14,3.09,1.33,None,0,NA,0,,,0,0,0,0,1,268.5,0.212,0.486,6,"Laptop,Phone,Tablet",80.9,0,1,2,143,0.221,0.047,0,0,0,0.5,1.05,68000,0.955,1.05,1.32,Lifeline,0,0,0,0,0,Rejected,Email,Control,SMS,0,0,0
200001,2025-09-01 00:00:00,Roommates,2022-06-01 00:00:00,Active,Urban,Bulk,Low,C,2025-08-22,0,1,0,0,None,Fiber,368.7,337.3,0,0,17.9,2.9,0.105,0,0,0,15,0,3.14,0,3,0,58.25,0,0,1.69,0,0,0,0,0,2.43,0,0,57.51,0,0,,,,0,0,,0,,0,0,0,62,4.21,1.74,None,0,NA,0,,,0,0,0,0,1,343.4,0.161,0.308,6,"Laptop,Phone,Tablet",84.6,0,1,1,106,0.26,0.132,1,0.88,1,0.5,1.05,68000,0.955,0.93,1.11,Lifeline,0,0,0,0,0,None,None,Control,SMS,0,0,0
200001,2025-10-01 00:00:00,Roommates,2023-12-01 00:00:00,Active,Urban,Bulk,Low,C,2025-08-22,0,1,0,0,None,Fiber,368.7,330.5,0,0,25,5.7,0.078,0,0,0,15,0,3.14,0,1,0,58.25,0,0,1.28,0,0,0,0,0,0.53,0,0,59,1,0,,,,0,0,,0,,0,0,0,23,3,1.71,None,0,NA,1,Support,Low,0,3,0,0,1,294.5,0.184,0.3,6,"Laptop,Phone,Tablet",91.5,0,0,2,205,0.208,0,1,1.06,1,0.5,1.05,68000,0.955,1.12,0.89,Lifeline,0,0,0,0,0,Rejected,None,Control,SMS,0,0,0
200001,2025-11-01 00:00:00,Roommates,2023-11-01 00:00:00,Active,Urban,Bulk,Low,C,2025-08-22,0,1,0,0,None,Fiber,368.7,352.8,0,0,5,3.9,0.2,0,0,0,15,0,3.14,0,0,0,58.25,0,0,2.44,1,0,0,0,0,0,0,0,61.69,0,0,,,,0,0,,1,Technical,337,0,0,43,3.94,2.26,None,0,NA,0,,,0,0,0,0,1,311.9,0.152,0.564,6,"Laptop,Phone,Tablet",90.2,0,0,0,0,0.095,0.1,1,1,1,0.5,1.05,68000,0.955,1.13,1.66,Lifeline,0,0,0,0,0,Rejected,Email,Control,SMS,0,0,0
